"group","year","female","age","rank","group_size","died","days_survived_this_year_this_group","gg_mean","gg_sd","gr_mean","gr_sd","sg_mean","sg_sd","sr_mean","sr_sd","f_mean","f_sd"
1,2008,12,15,0.369523879,22.63207547,0,366,-0.061305074,0.961929404,-0.056128037,0.828098906,-0.846306425,0.704708395,-0.457624961,0.403100526,-0.211516715,0.857807434
1,2009,12,16,0.341033028,24.51351351,0,365,-0.502621708,0.842819673,-0.181785275,0.786567461,-0.705420855,0.736752468,-0.378181165,0.418495609,-0.425313717,0.906763853
1,2010,12,17,0.371647553,26.5942029,0,365,-0.426914139,0.719988194,-0.440770178,0.721297526,-0.147650225,0.594629073,-0.086951404,0.350875135,-0.535492722,0.921244089
1,2011,12,18,0.390231048,29.53968254,0,365,0.215063362,0.622750824,-0.405542331,0.717889135,-0.977636637,0.71231483,-0.532298731,0.401541359,-0.518964665,0.873836842
1,2012,12,19,0.44145287,30.08737864,0,290,1.354020335,0.48697561,0.360096994,0.636455504,-0.764367543,0.587154447,-0.420545487,0.338805304,0.247732983,0.83523194
2,2012,12,19,0.812831615,6.666666667,0,76,1.02964924,0.644390824,-0.356777899,0.745256308,1.121145222,0.426370792,0.56460321,0.272579063,1.317203401,0.824591274
2,2013,12,20,0.763374669,12.55555556,0,365,1.312444862,0.595958004,-0.008675236,0.695078435,0.599615104,0.598438073,0.32294012,0.346746601,1.600371434,0.78883473
2,2014,12,21,0.806419865,14,0,365,0.164190612,0.68867878,-0.278867799,0.761849661,0.056754539,0.738751773,0.013223384,0.414830063,0.64994806,0.867859125
2,2015,12,22,0.768516214,14.56521739,0,365,0.812585677,0.544706967,-0.586961684,0.687274936,0.049752978,0.545721061,0.047919142,0.316238297,1.213863254,0.682319144
2,2016,12,23,0.748170998,14.6875,0,366,0.70249226,0.74666769,0.263472139,0.700569614,0.823349924,0.575320986,0.457670249,0.33599031,0.10505556,0.875856537
2,2017,12,24,0.632060863,18.59615385,0,365,0.204033245,0.576729398,-0.213261496,0.6032042,0.369101108,0.394345863,0.194723475,0.24508591,0.411676982,0.720059074
2,2018,12,25,0.635026348,17.5,0,365,-0.025107157,0.746837038,-0.402137962,0.71932427,0.233366021,0.617641969,0.110287631,0.356323763,0.202557205,0.812472472
2,2019,12,26,0.651986535,17.39130435,1,118,NA,NA,NA,NA,0.379527659,0.774946298,0.196463184,0.439153089,0.480390767,0.924281249
11,2005,13,12,0.230297484,16.66666667,0,365,-0.003760089,0.979626969,-0.003379975,0.802887692,-0.046487029,0.897967693,-0.025999379,0.496405014,0.335186983,0.989769002
11,2006,13,13,0.237940952,13.2,0,365,-0.050459322,0.980935548,-0.034830824,0.828669896,-0.104620364,0.88500573,-0.058145414,0.494083517,-0.081092852,0.962103199
11,2009,13,16,0.296917177,24.66666667,0,365,-0.301153047,0.84138578,-0.209090243,0.76766631,-0.536860915,0.761068288,-0.300928863,0.428267578,-0.021007381,0.870693183
11,2010,13,17,0.316192813,25.14705882,0,365,-0.137611604,0.518310342,-0.951889967,0.633451133,-0.597513793,0.382532149,-0.327956697,0.246324317,0.692563381,0.590106776
11,2011,13,18,0.203771283,26.76666667,0,365,-0.020127224,0.643552992,-0.148217993,0.631432856,-0.151932255,0.477443118,-0.021755491,0.288604164,-0.34938272,0.796536572
11,2012,13,19,0.178329668,29.375,1,237,0.617466307,0.545436995,0.287501453,0.561533975,-0.060490779,0.499753663,-0.020298772,0.302707497,-0.488867292,0.802997344
2,2013,14,11,0.364744384,12.55555556,0,194,-0.029273571,0.783624978,-0.21116104,0.751027042,-0.38619009,0.794991165,-0.214706121,0.449289774,0.041513457,0.908725967
2,2014,14,12,0.389272019,14,0,365,0.488913388,0.664456074,-0.282311349,0.750316009,0.340652474,0.748295177,0.189376031,0.424641765,0.200590148,0.86738934
2,2015,14,13,0.330303038,14.56521739,1,223,0.265497881,0.617722849,-0.147419406,0.651594517,-0.296736711,0.616134399,-0.16730842,0.353232482,0.080593301,0.827053349
3,2007,14,5,0.11646465,4.904761905,0,302,1.601344045,0.53525502,-0.470712091,0.709241426,0.731481207,0.443022065,0.396219844,0.274163285,0.682281064,0.837371337
3,2008,14,6,0.070413439,5.6,0,366,0.903298327,0.696822155,-0.390079873,0.733124152,-0.219358146,0.74116372,-0.138810857,0.419733538,0.334224391,0.868324896
3,2009,14,7,0.260433606,5.333333333,0,365,0.988452507,0.724039023,-0.411324948,0.75769992,-0.023789893,0.699006082,-0.012101915,0.395021723,-0.35334949,0.965165527
3,2010,14,8,0.264862922,7.571428571,0,365,0.747288649,0.77628995,-0.155347178,0.792250516,-0.061040211,0.90318982,-0.032413198,0.501742434,-0.10586127,0.977441084
3,2011,14,9,0.382348855,9.24,0,365,1.053761865,0.62902578,-0.376312406,0.727806209,-0.148308926,0.696946698,-0.095056969,0.395580961,0.195423047,0.888962545
3,2012,14,10,0.654107198,8.388888889,0,366,1.561963409,0.628862661,-0.177837304,0.707648605,0.992894061,0.561741538,0.558150713,0.332505631,0.74480083,0.85898879
3,2013,14,11,0.711172173,6,0,171,1.253720198,0.794400867,-0.179473577,0.779478756,1.092600323,0.82481398,0.612450634,0.464622406,-0.045710928,0.968360713
7,2007,14,5,0.256553229,15.7,0,63,0.529358798,0.664131393,0.03495606,0.654439892,-0.399342436,0.803232375,-0.220081887,0.450096116,0.950183876,0.842999847
5,2012,15,5,0.669953599,23.41071429,0,366,0.150303613,0.604474393,-0.171214712,0.616363773,-0.186555086,0.466786384,-0.099208053,0.275729142,0.185178988,0.774332064
5,2013,15,6,0.652484724,18.83333333,1,347,0.407150011,0.616118336,0.083985602,0.650847304,1.072331022,0.459317492,0.565827296,0.284569719,0.374623592,0.842090717
1,2004,16,5,0.670230691,17.22282609,0,366,-0.212387461,0.89623133,-0.109602137,0.782490188,0.757067725,0.376069777,0.301522336,0.243508713,0.558703773,0.694920641
1,2005,16,6,0.722922582,20.05128205,0,365,1.133979873,0.502089215,0.119752361,0.590433016,0.79164106,0.311961638,0.485316779,0.221182878,1.250669445,0.633151817
1,2006,16,7,0.76265651,22.12328767,1,331,0.647144498,0.503303609,0.066207011,0.572543709,-0.000357121,0.402831167,0.021602721,0.248276175,0.313446558,0.651633805
5,2002,17,9,0.516972608,30,0,365,-0.293050188,0.885698289,-0.194864676,0.768885847,-0.345558251,0.791374011,-0.187331563,0.443474235,0.059329928,0.906827046
5,2003,17,10,0.516525864,30.04225352,0,365,0.648456526,0.541154223,-0.556687399,0.67640499,-1.297630852,0.548911635,-0.712592654,0.318689483,-0.205122427,0.767891336
5,2004,17,11,0.49906341,33.36315789,0,366,-0.214520753,0.714218399,-0.449953398,0.691019974,-0.641113702,0.318348632,-0.340078579,0.205077205,-0.572333481,0.580859864
5,2005,17,12,0.508916693,34.20114943,0,365,0.658613133,0.422938807,-0.646389698,0.590772241,-1.366134176,0.340204862,-0.703755924,0.220339367,-0.751671514,0.59611261
5,2006,17,13,0.488205533,37.37423313,0,365,0.988721963,0.375161913,-0.979392898,0.616845875,-0.321986569,0.252978699,-0.040431162,0.183329064,-1.100252861,0.630159078
5,2007,17,14,0.574063286,31.3852459,0,365,0.352870076,0.494149341,-0.816053846,0.659602832,0.298635156,0.258254733,0.100573367,0.186369849,-0.368199097,0.641529271
5,2008,17,15,0.832539368,17.8375,0,366,1.439895253,0.49120305,0.444091797,0.594963642,0.744079389,0.35150019,0.343866656,0.233462742,0.027442095,0.727926283
5,2009,17,16,0.843681006,19.21518987,0,365,1.380277882,0.528658364,-0.593025397,0.709656621,0.310108129,0.419212556,0.157876473,0.263680956,0.135174715,0.762875548
5,2010,17,17,0.796841384,19.92,0,365,0.651111251,0.669545254,-0.237391188,0.745890428,0.293314907,0.671028997,0.179598422,0.383083292,-0.400340718,0.941585057
5,2011,17,18,0.809052085,22.3030303,0,365,1.45715308,0.512073176,0.076420538,0.582857221,0.950087643,0.358030849,0.527963501,0.242935535,-0.025825758,0.823658583
5,2012,17,19,0.811422122,23.41071429,0,366,1.393646026,0.514114753,0.048334921,0.601383313,0.990640134,0.350189563,0.589966434,0.235342461,0.082485574,0.789820752
5,2013,17,20,0.808913022,18.83333333,0,365,1.416129092,0.547494606,0.622900229,0.581682522,0.955334306,0.451905263,0.563113367,0.275012526,0.735356272,0.810863689
5,2014,17,21,0.796784411,16.55555556,0,365,1.069616145,0.629058984,0.328159007,0.67201154,1.001177332,0.565309373,0.569848414,0.333635233,-0.346560808,0.936645708
5,2015,17,22,0.843526398,15.74285714,0,365,1.538113147,0.456392944,0.437164843,0.56852783,-0.155859636,0.508885211,-0.076572137,0.303166364,1.853282886,0.659998564
5,2016,17,23,0.744080317,11.88888889,0,366,1.018798574,0.722005935,-0.14600224,0.756386083,1.056091755,0.600908231,0.591552318,0.344345891,0.620326273,0.880977106
