"group","year","female","age","rank","group_size","died","days_survived_this_year_this_group","gg_mean","gg_sd","gr_mean","gr_sd","sg_mean","sg_sd","sr_mean","sr_sd","f_mean","f_sd"
9,2009,9,15,0.514353974,18.92405063,0,365,0.411208716,0.407099898,0.30971555,0.335460203,0.020172894,0.386279208,-0.011528223,0.21526625,1.130939797,0.696230814
9,2010,9,16,0.546244376,21.06896552,0,365,-0.261195206,0.493492629,-0.161585271,0.351728903,-0.478938358,0.553150359,-0.221047833,0.282588077,-0.359151003,0.892331113
9,2011,9,17,0.640691943,23.73684211,0,365,-0.622825908,0.490543056,-0.287437595,0.341857115,0.216937695,0.450691048,0.108520765,0.241003165,-0.09488916,0.830363272
9,2012,9,18,0.620568348,24.75925926,0,366,-0.125803441,0.39324593,0.016551729,0.306320611,-0.773183773,0.512987622,-0.385045017,0.264273243,0.817574952,0.69668276
9,2013,9,19,0.644300241,26.4,0,365,-0.293886548,0.687148632,-0.194855778,0.466585149,0.070808114,0.624736388,0.02820913,0.311995974,-0.261149816,0.954864592
9,2014,9,20,0.656556379,27.9,0,365,-0.279694716,0.662369286,-0.150721289,0.440599229,-0.246361789,0.681838263,-0.125596998,0.338820628,0.298973956,0.899900042
9,2015,9,21,0.657661796,26,1,295,0.091248634,0.698940446,0.093568628,0.466928796,-0.315306977,0.844772673,-0.153943508,0.41654643,0.335101739,0.992428624
10,2002,10,35,0.599756459,35.89767442,0,365,NA,NA,NA,NA,0.415584916,0.342468237,0.201069931,0.199349033,1.413919611,0.632376482
10,2003,10,36,0.690678237,36.8202765,0,365,-0.018774617,0.739706128,-0.010080012,0.490015007,0.604692928,0.312665421,0.282802251,0.189637078,0.707734819,0.732790183
10,2004,10,37,0.759596471,29.56989247,1,237,-0.036428913,0.745512364,-0.022157532,0.486652987,0.848713381,0.288266598,0.419750875,0.188601717,1.10363404,0.648313632
5,2007,11,5,0.244123621,31.3852459,0,365,-0.243326017,0.355535312,-0.202288396,0.292862206,0.05077733,0.317210504,-0.022155452,0.185243233,-0.436452169,0.717378193
5,2008,11,6,0.637505821,17.8375,0,366,0.74593702,0.321739056,0.174299689,0.293975358,1.109833109,0.267215795,0.458900739,0.174480187,0.742263624,0.654453986
5,2009,11,7,0.756247549,19.21518987,0,365,1.187483828,0.323218842,0.387925962,0.29263469,0.578934393,0.350407571,0.193301895,0.206235098,0.423209891,0.705249964
