"group","year","female","age","rank","group_size","died","days_survived_this_year_this_group","gg_mean","gg_sd","gr_mean","gr_sd","sg_mean","sg_sd","sr_mean","sr_sd","f_mean","f_sd"
1,2011,12,18,0.390231048,29.53968254,0,365,1.312921739,0.302874815,-0.195027517,0.264195935,-2.027383113,0.69312643,-1.110844816,0.400933242,-1.736926195,0.710655316
1,2012,12,19,0.44145287,30.08737864,0,290,1.480590331,0.285426434,0.233315929,0.251728259,0.115324451,0.340819035,0.146614151,0.237926992,-0.241970327,0.599701426
2,2012,12,19,0.812831615,6.666666667,0,76,2.897252745,0.415887484,0.070305291,0.308867121,2.319998297,0.30909611,1.23382844,0.263141389,1.32958487,0.782109211
2,2013,12,20,0.763374669,12.55555556,0,365,1.628093255,0.392395747,0.190094953,0.291097616,2.224558408,0.329384184,1.269500732,0.252023665,1.028499153,0.715905067
2,2014,12,21,0.806419865,14,0,365,1.662413454,0.482974071,0.00934125,0.31469707,1.590871161,0.448247208,0.858346848,0.301886876,0.231203204,0.728656997
2,2015,12,22,0.768516214,14.56521739,0,365,1.920702679,0.35964364,0.192010449,0.291162835,1.237898483,0.396102369,0.69375235,0.273419147,0.540172503,0.643757508
2,2016,12,23,0.748170998,14.6875,0,366,1.384869639,0.637845493,0.248861995,0.318758575,1.825612683,0.459133283,1.006546078,0.311199416,-0.505832125,0.777659135
2,2017,12,24,0.632060863,18.59615385,0,365,1.682625883,0.306837202,0.228233061,0.269322566,1.586558838,0.254896997,0.917637415,0.208787713,0.525664906,0.613806533
2,2018,12,25,0.635026348,17.5,0,365,0.477526842,0.62110225,0.10913271,0.317419556,1.425489794,0.435077977,0.811245481,0.288768087,-0.848413634,0.748141297
2,2019,12,26,0.651986535,17.39130435,1,118,-0.314008976,1.363704493,-0.021677949,0.345788493,0.73022558,0.746379584,0.323879207,0.426263681,0.075750831,0.828142744
11,2005,13,12,0.230297484,16.66666667,0,365,-0.029108035,1.45392661,-0.009419573,0.347364593,0.116932414,0.960966959,0.086633462,0.520829746,-0.184143357,0.932972745
